FOC_pred,FOC_act,PERC,stw
33.5,35.32,5.140553,14.66
34.92,37.07,5.809124,14.67
87.66,85.6,2.4100866,19.19
29.11,29.59,1.6320947,13.64
25.86,24.47,5.6950455,13.11
70.32,68.87,2.1066523,17.99
85.24,81.52,4.568952,18.73
27.63,27.19,1.6077849,13.32
57.69,57.96,0.4728948,16.28
35.17,35.44,0.77574843,14.78
25.93,25.32,2.4126303,12.76
25.21,28.41,11.279849,12.21
42.75,41.14,3.9191425,15.18
46.39,43.92,5.628685,15.8
71.5,69.8,2.4410672,17.95
69.42,68.73,1.0082945,17.86
52.27,50.51,3.4921284,16.17
78.3,74.92,4.509642,18.48
85.02,85.12,0.114700854,18.99
80.49,80.24,0.30760038,18.82
36.19,35.8,1.0852281,14.7
73.84,72.87,1.3290453,18.23
89.69,87.34,2.6929212,19.51
81.61,80.79,1.0156189,18.9
72.31,70.88,2.0236087,18.0
33.01,31.52,4.734037,14.21
42.92,37.07,15.784645,15.12
56.47,54.57,3.4816995,16.67
62.38,62.62,0.3843329,17.24
29.54,28.54,3.499931,13.25
75.39,75.53,0.18369941,18.31
64.18,65.81,2.4819589,17.55
69.92,70.61,0.9812648,17.76
35.21,37.6,6.3577204,14.89
96.54,97.65,1.1329006,20.73
86.53,83.23,3.9634626,19.32
29.01,29.76,2.5346777,13.43
64.47,65.0,0.82294166,17.55
46.81,41.87,11.800179,15.81
78.3,79.2,1.1331577,18.43
54.22,51.86,4.5535984,16.55
25.88,25.3,2.292309,12.89
71.15,69.86,1.8530931,17.88
37.26,37.21,0.14020371,14.72
26.37,27.49,4.0615077,12.64
24.76,22.6,9.538448,12.15
